parameter,value,unit,source_type,source,rationale,sweep
simulation.time.slot_duration_s,1.0,s,scenario,design,1 slot := 1 s; sets the seconds<->slots mapping,-
simulation.time.total_slots,432000,slots,scenario,design,"evaluation run length (432,000 slots = 5.0 days at 1 s/slot; warm-up excluded)",LTE_TOTAL_TIME
simulation.time.train_ratio,0.8,-,scenario,design,chronological train fraction; test is the final 20%,-
simulation.topology.n_cells,1,count,scenario,design,single-cell scope (no handover / inter-cell),-
simulation.topology.initial_nonresident_ues,60,UEs,scenario,scale profile,seed population of finite-dwell UEs at t=0,LTE_SCALE_PROFILE
simulation.topology.resident_ues,30,UEs,scenario,scale profile,always-present UEs (never exit),LTE_SCALE_PROFILE
simulation.arrival.base_rate,0.5,UEs/slot,scenario,scale profile,base Poisson arrival intensity,LTE_SCALE_PROFILE
simulation.arrival.diurnal_period_slots,86400,slots,scenario,design,"one diurnal cycle = 86,400 slots = 24 h at 1 s/slot; t_sin/t_cos therefore encode wall-clock time of day, not a simulator-internal period",-
simulation.arrival.global_event_prob,0.015,prob/slot,scenario,design,per-slot chance of a whole-cell demand surge,-
simulation.arrival.global_event_access_boost,2.2,x,scenario,design,access-prob multiplier during a whole-cell surge,-
simulation.mobility.dwell_classes.transient.weight,0.2,slots/weight,scenario,design,transient/regular/stationary dwell (exp) + class weights,-
simulation.mobility.dwell_classes.transient.mean_dwell,200,slots/weight,scenario,design,transient/regular/stationary dwell (exp) + class weights,-
simulation.mobility.dwell_classes.regular.weight,0.5,slots/weight,scenario,design,transient/regular/stationary dwell (exp) + class weights,-
simulation.mobility.dwell_classes.regular.mean_dwell,400,slots/weight,scenario,design,transient/regular/stationary dwell (exp) + class weights,-
simulation.mobility.dwell_classes.stationary.weight,0.3,slots/weight,scenario,design,transient/regular/stationary dwell (exp) + class weights,-
simulation.mobility.dwell_classes.stationary.mean_dwell,600,slots/weight,scenario,design,transient/regular/stationary dwell (exp) + class weights,-
simulation.mobility.min_dwell_slots,20,slots,scenario,design,floor on sampled dwell,-
simulation.traffic.usage_intensity.low.weight,0.35,prob/weight,scenario,design,low/medium/high per-slot access probabilities + weights,-
simulation.traffic.usage_intensity.low.access_prob,0.003,prob/weight,scenario,design,low/medium/high per-slot access probabilities + weights,-
simulation.traffic.usage_intensity.medium.weight,0.45,prob/weight,scenario,design,low/medium/high per-slot access probabilities + weights,-
simulation.traffic.usage_intensity.medium.access_prob,0.015,prob/weight,scenario,design,low/medium/high per-slot access probabilities + weights,-
simulation.traffic.usage_intensity.high.weight,0.2,prob/weight,scenario,design,low/medium/high per-slot access probabilities + weights,-
simulation.traffic.usage_intensity.high.access_prob,0.035,prob/weight,scenario,design,low/medium/high per-slot access probabilities + weights,-
simulation.traffic.service_types.voice.weight,0.2,slots/weight,scenario,adapted from 3GPP TR 36.822,"voice/streaming/browsing durations, burst/idle structure, mix weights",LTE_SERVICE_MIX
simulation.traffic.service_types.voice.duration_mean,160,slots/weight,scenario,adapted from 3GPP TR 36.822,"voice/streaming/browsing durations, burst/idle structure, mix weights",LTE_SERVICE_MIX
simulation.traffic.service_types.voice.duration_std,60,slots/weight,scenario,adapted from 3GPP TR 36.822,"voice/streaming/browsing durations, burst/idle structure, mix weights",LTE_SERVICE_MIX
simulation.traffic.service_types.voice.multi_rrc,False,slots/weight,scenario,adapted from 3GPP TR 36.822,"voice/streaming/browsing durations, burst/idle structure, mix weights",LTE_SERVICE_MIX
simulation.traffic.service_types.streaming.weight,0.35,slots/weight,scenario,adapted from 3GPP TR 36.822,"voice/streaming/browsing durations, burst/idle structure, mix weights",LTE_SERVICE_MIX
simulation.traffic.service_types.streaming.duration_mean,120,slots/weight,scenario,adapted from 3GPP TR 36.822,"voice/streaming/browsing durations, burst/idle structure, mix weights",LTE_SERVICE_MIX
simulation.traffic.service_types.streaming.duration_std,60,slots/weight,scenario,adapted from 3GPP TR 36.822,"voice/streaming/browsing durations, burst/idle structure, mix weights",LTE_SERVICE_MIX
simulation.traffic.service_types.streaming.multi_rrc,True,slots/weight,scenario,adapted from 3GPP TR 36.822,"voice/streaming/browsing durations, burst/idle structure, mix weights",LTE_SERVICE_MIX
simulation.traffic.service_types.streaming.burst_len_mean,27,slots/weight,scenario,adapted from 3GPP TR 36.822,"voice/streaming/browsing durations, burst/idle structure, mix weights",LTE_SERVICE_MIX
simulation.traffic.service_types.streaming.burst_len_std,4,slots/weight,scenario,adapted from 3GPP TR 36.822,"voice/streaming/browsing durations, burst/idle structure, mix weights",LTE_SERVICE_MIX
simulation.traffic.service_types.streaming.idle_len_mean,25,slots/weight,scenario,adapted from 3GPP TR 36.822,"voice/streaming/browsing durations, burst/idle structure, mix weights",LTE_SERVICE_MIX
simulation.traffic.service_types.browsing.weight,0.45,slots/weight,scenario,adapted from 3GPP TR 36.822,"voice/streaming/browsing durations, burst/idle structure, mix weights",LTE_SERVICE_MIX
simulation.traffic.service_types.browsing.duration_mean,60,slots/weight,scenario,adapted from 3GPP TR 36.822,"voice/streaming/browsing durations, burst/idle structure, mix weights",LTE_SERVICE_MIX
simulation.traffic.service_types.browsing.duration_std,25,slots/weight,scenario,adapted from 3GPP TR 36.822,"voice/streaming/browsing durations, burst/idle structure, mix weights",LTE_SERVICE_MIX
simulation.traffic.service_types.browsing.multi_rrc,True,slots/weight,scenario,adapted from 3GPP TR 36.822,"voice/streaming/browsing durations, burst/idle structure, mix weights",LTE_SERVICE_MIX
simulation.traffic.service_types.browsing.burst_len_mean,27,slots/weight,scenario,adapted from 3GPP TR 36.822,"voice/streaming/browsing durations, burst/idle structure, mix weights",LTE_SERVICE_MIX
simulation.traffic.service_types.browsing.burst_len_std,4,slots/weight,scenario,adapted from 3GPP TR 36.822,"voice/streaming/browsing durations, burst/idle structure, mix weights",LTE_SERVICE_MIX
